"Valuation Date","Last Movement Date",Organization,"Last Material Receipt Date","Org Warehouse",Locator,"Item Category","Item No","C_UOM_ID","On Hand Qty","C_Currency_ID","Moving Average Price","Price Value","C_Currency_ID_To","Current Price","Price Value","AD_Client_ID"
"31-01-2023","16-01-2023","CM_SMT","16-01-2023","CM01 Warehouse","MTS5001 Material Stock","Parts (Purchased parts)",SPAKG0343AIZZ,PCS,"1,010",USD,"0.72","727.2",USD,"0.72","727.2","SHARP Manufacturing Vietnam"
"31-01-2023","30-12-2022","CM_SMT","01-06-2022","CM01 Warehouse","MTS5001 Material Stock","Parts (Purchased parts)",SPAKZ0337AIZZ,PCS,"4,550",USD,"0.6196","2,819.18",USD,"0.6196","2,819.18","SHARP Manufacturing Vietnam"
"31-01-2023","30-12-2022","CM_SMT","06-06-2022","CM01 Warehouse","MTS5001 Material Stock","Parts (Purchased parts)",SPAKZ0345AIZZ,PCS,"12,800",USD,"0.6012","7,695.36",USD,"0.6012","7,695.36","SHARP Manufacturing Vietnam"
"31-01-2023","30-12-2022","CM_SMT","15-06-2022","CM01 Warehouse","MTS5001 Material Stock","Parts (Purchased parts)",SPAKZ0371AIZZ,PCS,"8,200",USD,"0.618","5,067.6",USD,"0.618","5,067.6","SHARP Manufacturing Vietnam"
"31-01-2023","30-06-2022","CM_SMT","04-06-2022","CM01 Warehouse","MTS5001 Material Stock","Parts (Purchased parts)",SPAKZ0376AIZZ,PCS,"33,900",USD,"0.618","20,950.2",USD,"0.618","20,950.2","SHARP Manufacturing Vietnam"
"31-01-2023","11-01-2023","CM_SMT","11-01-2023","CM01 Warehouse","MTS5001 Material Stock","Parts (Purchased parts)",SPAKZ0381AIZZ,PCS,"30,100",USD,"0.5201","15,655.01",USD,"0.5201","15,655.01","SHARP Manufacturing Vietnam"
"31-01-2023","30-12-2022","CM_SMT","26-11-2022","CM01 Warehouse","MTS5001 Material Stock","Parts (Purchased parts)",SSAKL0015AIZZ,PCS,"7,245",USD,"0.4526","3,279.087",VND,"10,654.204","77,189,707.98","SHARP Manufacturing Vietnam"
"31-01-2023","12-01-2023","CM_SMT","12-01-2023","CM01 Warehouse","MTS5001 Material Stock","Parts (Purchased parts)",ZHNDAE128003I,g,"222,000",USD,"0.1558","34,587.6",USD,"0.1558","34,587.6","SHARP Manufacturing Vietnam"
"31-01-2023","30-12-2022","CM_SMT","29-09-2022","CM01 Warehouse","MTS5001 Material Stock","Parts (Purchased parts)","ZOBND-089003A",g,"17,500",USD,"0.0308","539.0",VND,"725.032","12,688,060.0","SHARP Manufacturing Vietnam"
"31-01-2023","30-12-2022","CM_SMT","12-09-2022","CM01 Warehouse","MTS5001 Material Stock","Parts (Purchased parts)","ZRBONC05-000L",m,"4,200",USD,"0.0506","212.52",VND,"1,191.124","5,002,720.8","SHARP Manufacturing Vietnam"
"31-01-2023","05-01-2023","CM_SMT","05-01-2023","CM01 Warehouse","MTS5001 Material Stock","Parts (Purchased parts)",ZSOLVZ88H025I,litre,750,USD,"37.20","27,900.0",USD,"37.2","27,900.0","SHARP Manufacturing Vietnam"
"31-01-2023","30-12-2022","CM_SMT","05-12-2022","CM01 Warehouse","MTS5001 Material Stock","Parts (Purchased parts)","ZSTPL-000003I",m,"21,725",USD,"0.1838","3,993.055",VND,"4,326.652","93,996,514.7","SHARP Manufacturing Vietnam"
"31-01-2023","30-12-2022","CM_SMT","01-11-2022","CM01 Warehouse","MTS5001 Material Stock","Parts (Purchased parts)",ZTAPE348T000I,m,"16,470",USD,"0.0288","474.336",VND,"677.952","11,165,869.44","SHARP Manufacturing Vietnam"
"31-01-2023","30-12-2022","CM_SMT","08-11-2022","CM01 Warehouse","MTS5001 Material Stock","Parts (Purchased parts)","ZTAPEZ08-001I",PCS,"30,000",USD,"0.0062","186.0",VND,"145.948","4,378,440.0","SHARP Manufacturing Vietnam"
"31-01-2023","30-12-2022","CM_SMT","08-11-2022","CM01 Warehouse","MTS5001 Material Stock","Parts (Purchased parts)","ZTAPEZ12-001I",PCS,"3,250",USD,"0.0125","40.625",VND,"294.25","956,312.5","SHARP Manufacturing Vietnam"
"31-01-2023","30-01-2023","CM_SMT","12-01-2023","CM01 Warehouse","MTS5002 Material Stock Free","Parts (Free parts)",131S00071330JM,PCS,"525,018",USD,"0.00","0.0",USD,"0.0","0.0","SHARP Manufacturing Vietnam"
"31-01-2023","05-09-2022","CM_SMT","08-07-2022","CM01 Warehouse","MTS5002 Material Stock Free","Parts (Free parts)",131S00170221MM,PCS,"6,680,262",USD,"0.00","0.0",,"0.0","0.0","SHARP Manufacturing Vietnam"
"31-01-2023","31-01-2023","CM_SMT","16-01-2023","CM01 Warehouse","MTS5002 Material Stock Free","Parts (Free parts)",131S00323560JM,PCS,"12,663,921",USD,"0.00","0.0",USD,"0.0","0.0","SHARP Manufacturing Vietnam"
"31-01-2023","21-10-2022","CM_SMT","18-10-2022","CM01 Warehouse","MTS5002 Material Stock Free","Parts (Free parts)",131S0327A560JM,PCS,"57,422",USD,"0.00","0.0",,"0.0","0.0","SHARP Manufacturing Vietnam"
"31-01-2023","04-09-2022","CM_SMT","08-07-2022","CM01 Warehouse","MTS5002 Material Stock Free","Parts (Free parts)",132S00185104MM,PCS,"1,949,472",USD,"0.00","0.0",,"0.0","0.0","SHARP Manufacturing Vietnam"
"31-01-2023","12-12-2022","CM_SMT","12-12-2022","CM01 Warehouse","MTS5002 Material Stock Free","Parts (Free parts)",132S00221103JM,PCS,"331,256",USD,"0.00","0.0",USD,"0.0","0.0","SHARP Manufacturing Vietnam"
"31-01-2023","31-01-2023","CM_SMT","16-01-2023","CM01 Warehouse","MTS5002 Material Stock Free","Parts (Free parts)",132S0245R103JM,PCS,"3,100,676",USD,"0.00","0.0",,"0.0","0.0","SHARP Manufacturing Vietnam"
"31-01-2023","31-01-2023","CM_SMT","16-01-2023","CM01 Warehouse","MTS5002 Material Stock Free","Parts (Free parts)",132S0249R221MM,PCS,"8,823,052",USD,"0.00","0.0",USD,"0.0","0.0","SHARP Manufacturing Vietnam"
"31-01-2023","12-12-2022","CM_SMT","12-12-2022","CM01 Warehouse","MTS5002 Material Stock Free","Parts (Free parts)",132S0275R471MM,PCS,"1,035,156",USD,"0.00","0.0",USD,"0.0","0.0","SHARP Manufacturing Vietnam"
"31-01-2023","31-01-2023","CM_SMT","16-01-2023","CM01 Warehouse","MTS5002 Material Stock Free","Parts (Free parts)",132S0316R104MM,PCS,"7,084,764",USD,"0.00","0.0",USD,"0.0","0.0","SHARP Manufacturing Vietnam"
"31-01-2023","01-07-2022","CM_SMT","18-12-2021","CM01 Warehouse","MTS5002 Material Stock Free","Parts (Free parts)",138S00109225MM,PCS,"96,548",USD,"0.00","0.0",USD,"0.0","0.0","SHARP Manufacturing Vietnam"
"31-01-2023","31-01-2023","CM_SMT","12-01-2023","CM01 Warehouse","MTS5002 Material Stock Free","Parts (Free parts)",138S00122225MM,PCS,"6,214,197",USD,"0.00","0.0",USD,"0.0","0.0","SHARP Manufacturing Vietnam"
"31-01-2023","31-01-2023","CM_SMT","07-01-2023","CM01 Warehouse","MTS5002 Material Stock Free","Parts (Free parts)",138S00128474MM,PCS,"14,111,171",USD,"0.00","0.0",USD,"0.0","0.0","SHARP Manufacturing Vietnam"
"31-01-2023","02-01-2023","CM_SMT","02-01-2023","CM01 Warehouse","MTS5002 Material Stock Free","Parts (Free parts)",138S00133474MM,PCS,"428,597",USD,"0.00","0.0",USD,"0.0","0.0","SHARP Manufacturing Vietnam"
"31-01-2023","07-12-2022","CM_SMT","25-11-2022","CM01 Warehouse","MTS5002 Material Stock Free","Parts (Free parts)",138S00141405MM,PCS,"490,427",USD,"0.00","0.0",USD,"0.0","0.0","SHARP Manufacturing Vietnam"
"31-01-2023","31-01-2023","CM_SMT","16-01-2023","CM01 Warehouse","MTS5002 Material Stock Free","Parts (Free parts)",138S00269474MM,PCS,"2,219,908",USD,"0.00","0.0",USD,"0.0","0.0","SHARP Manufacturing Vietnam"
"31-01-2023","31-01-2023","CM_SMT","12-01-2023","CM01 Warehouse","MTS5002 Material Stock Free","Parts (Free parts)",138S00412474MM,PCS,"3,672,571",USD,"0.00","0.0",,"0.0","0.0","SHARP Manufacturing Vietnam"
"31-01-2023","31-01-2023","CM_SMT","16-01-2023","CM01 Warehouse","MTS5002 Material Stock Free","Parts (Free parts)",138S0692B105MM,PCS,"4,767,699",USD,"0.00","0.0",USD,"0.0","0.0","SHARP Manufacturing Vietnam"
"31-01-2023","31-01-2023","CM_SMT","12-01-2023","CM01 Warehouse","MTS5002 Material Stock Free","Parts (Free parts)",138S0914R225MM,PCS,"24,593,360",USD,"0.00","0.0",USD,"0.0","0.0","SHARP Manufacturing Vietnam"
"31-01-2023","20-10-2022","CM_SMT","08-10-2022","CM01 Warehouse","MTS5002 Material Stock Free","Parts (Free parts)",QPWBC0041MIZZ,PCS,"26,180",USD,"0.00","0.0",,"0.0","0.0","SHARP Manufacturing Vietnam"
"31-01-2023","08-10-2022","CM_SMT","08-10-2022","CM01 Warehouse","MTS5002 Material Stock Free","Parts (Free parts)",QPWBC0042MIZZ,PCS,"35,800",USD,"0.00","0.0",,"0.0","0.0","SHARP Manufacturing Vietnam"
"31-01-2023","31-01-2023","CM_SMT","17-01-2023","CM01 Warehouse","MTS5002 Material Stock Free","Parts (Free parts)",QPWBC0047MIZZ,PCS,"1,322,165",USD,"0.00","0.0",,"0.0","0.0","SHARP Manufacturing Vietnam"
"31-01-2023","31-01-2023","CM_SMT","17-01-2023","CM01 Warehouse","MTS5002 Material Stock Free","Parts (Free parts)",QPWBC0054MIZZ,PCS,"1,492,204",USD,"0.00","0.0",,"0.0","0.0","SHARP Manufacturing Vietnam"
"31-01-2023","12-12-2022","CM_SMT","22-10-2022","CM01 Warehouse","MTS5002 Material Stock Free","Parts (Free parts)",QPWBC0055MIZZ,PCS,"2,658,180",USD,"0.00","0.0",USD,"0.0","0.0","SHARP Manufacturing Vietnam"
"31-01-2023","04-12-2022","CM_SMT","22-10-2022","CM01 Warehouse","MTS5002 Material Stock Free","Parts (Free parts)",QPWBC0056MIZZ,PCS,"1,015,110",USD,"0.00","0.0",USD,"0.0","0.0","SHARP Manufacturing Vietnam"
"31-01-2023","04-07-2022","CM_SMT","04-07-2022","CM01 Warehouse","MTS5002 Material Stock Free","Parts (Free parts)",QPWBC0057MIZZ,PCS,"5,342,542",USD,"0.00","0.0",,"0.0","0.0","SHARP Manufacturing Vietnam"
"31-01-2023","07-01-2023","CM_SMT","07-01-2023","CM01 Warehouse","MTS5002 Material Stock Free","Parts (Free parts)",QPWBC0060MIZZ,PCS,"52,930,099",USD,"0.00","0.0",,"0.0","0.0","SHARP Manufacturing Vietnam"
"31-01-2023","08-08-2022","CM_SMT","08-08-2022","CM01 Warehouse","MTS5002 Material Stock Free","Parts (Free parts)",SSAKL0010MIZZ,PCS,"9,543",USD,"0.00","0.0",,"0.0","0.0","SHARP Manufacturing Vietnam"
